iter	Passed	Remaining
0	1	1065
1	1	988
2	2	939
3	3	874
4	4	850
5	4	827
6	5	810
7	6	782
8	6	759
9	7	740
10	8	737
11	8	740
12	9	728
13	10	725
14	11	757
15	12	754
16	12	750
17	13	740
18	14	737
19	14	733
20	15	732
21	16	734
22	17	730
23	17	728
24	18	726
25	19	720
26	19	718
27	20	715
28	21	715
29	22	713
30	22	709
31	23	707
32	23	702
33	24	704
34	25	701
35	26	696
36	26	693
37	27	690
38	27	687
39	28	683
40	29	680
41	29	678
42	30	676
43	31	675
44	31	672
45	32	669
46	32	667
47	33	664
48	34	662
49	34	662
50	35	659
51	36	656
52	36	654
53	37	652
54	37	649
55	38	648
56	39	650
57	39	649
58	40	646
59	41	646
60	41	645
61	42	644
62	43	643
63	43	641
64	44	639
65	45	638
66	45	638
67	46	637
68	47	636
69	47	634
70	48	633
71	49	632
72	49	631
73	50	630
74	50	628
75	51	626
76	52	625
77	52	624
78	53	624
79	54	623
80	54	622
81	55	621
82	55	617
83	56	616
84	57	615
85	57	613
86	58	611
87	58	609
88	59	608
89	60	607
90	60	606
91	61	604
92	61	604
93	62	604
94	63	604
95	64	604
96	64	603
97	65	602
98	66	601
99	67	605
100	67	605
101	68	604
102	69	606
103	70	606
104	71	606
105	71	606
106	72	605
107	73	605
108	73	604
109	74	603
110	75	602
111	76	602
112	76	603
113	77	602
114	78	600
115	78	599
116	79	598
117	80	597
118	80	598
119	81	597
120	82	599
121	83	597
122	83	596
123	84	596
124	85	595
125	85	595
126	86	593
127	87	592
128	87	593
129	88	592
130	89	592
131	89	590
132	90	590
133	91	590
134	92	592
135	93	590
136	93	589
137	94	590
138	95	589
139	95	588
140	96	587
141	96	585
142	97	584
143	98	584
144	98	583
145	99	582
146	100	581
147	100	580
148	101	579
149	101	577
150	102	576
151	103	575
152	103	573
153	104	571
154	104	570
155	105	569
156	105	569
157	106	568
158	107	567
159	108	567
160	108	565
161	109	564
162	109	563
163	110	562
164	110	560
165	111	560
166	112	559
167	112	558
168	113	558
169	114	557
170	114	556
171	115	555
172	116	554
173	116	554
174	117	553
175	118	552
176	118	551
177	119	550
178	119	549
179	120	548
180	120	547
181	121	547
182	122	546
183	123	545
184	123	544
185	124	543
186	124	542
187	125	541
188	125	540
189	126	539
190	127	538
191	127	537
192	128	536
193	128	535
194	129	534
195	130	534
196	130	533
197	131	531
198	131	530
199	132	529
200	133	529
201	133	528
202	134	527
203	134	526
204	135	525
205	136	525
206	137	525
207	137	524
208	138	523
209	139	523
210	139	522
211	140	521
212	140	520
213	141	519
214	141	518
215	142	517
216	143	516
217	143	516
218	144	515
219	145	514
220	145	514
221	146	513
222	147	512
223	147	511
224	148	510
225	148	509
226	149	509
227	150	508
228	150	508
229	151	507
230	152	506
231	152	505
232	153	505
233	154	504
234	154	503
235	155	503
236	155	502
237	156	501
238	157	500
239	157	499
240	158	498
241	159	498
242	159	497
243	160	496
244	160	495
245	161	494
246	161	493
247	162	492
248	163	491
249	163	490
250	164	489
251	164	488
252	165	488
253	165	487
254	166	486
255	167	486
256	167	485
257	168	484
258	169	483
259	169	482
260	170	481
261	170	480
262	171	479
263	171	478
264	172	477
265	172	477
266	173	476
267	174	475
268	174	474
269	175	474
270	175	473
271	176	472
272	177	471
273	177	470
274	178	470
275	178	469
276	179	468
277	180	467
278	180	466
279	181	466
280	182	465
281	182	464
282	183	464
283	183	463
284	184	462
285	184	461
286	185	460
287	186	459
288	186	459
289	187	458
290	187	457
291	188	456
292	189	456
293	189	455
294	190	455
295	191	454
296	191	454
297	192	453
298	193	452
299	193	452
300	194	451
301	195	450
302	195	450
303	196	449
304	197	449
305	197	448
306	198	448
307	199	447
308	199	446
309	200	446
310	200	445
311	201	444
312	202	443
313	202	442
314	203	442
315	204	441
316	204	440
317	205	440
318	205	439
319	206	439
320	207	438
321	207	437
322	208	436
323	209	436
324	209	435
325	210	434
326	211	434
327	211	433
328	212	433
329	213	432
330	213	431
331	214	431
332	214	430
333	215	429
334	217	431
335	218	431
336	218	430
337	219	429
338	220	429
339	220	428
340	221	428
341	222	427
342	222	426
343	223	425
344	224	425
345	224	424
346	225	423
347	225	423
348	226	422
349	227	421
350	227	421
351	228	420
352	228	419
353	229	418
354	229	417
355	230	416
356	231	416
357	231	415
358	232	414
359	232	413
360	233	413
361	234	412
362	234	412
363	235	411
364	236	410
365	236	410
366	237	409
367	238	408
368	238	408
369	239	407
370	240	406
371	240	406
372	241	406
373	242	405
374	242	404
375	243	403
376	244	403
377	244	402
378	245	401
379	245	401
380	246	400
381	246	399
382	247	398
383	248	398
384	248	397
385	249	396
386	250	396
387	250	395
388	251	395
389	252	394
390	252	393
391	253	393
392	254	392
393	255	392
394	255	391
395	256	391
396	257	390
397	257	389
398	258	389
399	259	388
400	259	388
401	260	387
402	261	386
403	261	386
404	262	386
405	263	385
406	264	384
407	264	384
408	265	383
409	266	383
410	266	382
411	267	381
412	268	381
413	268	380
414	269	379
415	270	379
416	270	378
417	271	378
418	272	377
419	272	376
420	273	375
421	273	375
422	274	374
423	275	373
424	275	373
425	276	372
426	277	371
427	277	371
428	279	372
429	282	374
430	283	374
431	284	374
432	285	374
433	286	374
434	287	373
435	288	373
436	290	374
437	291	374
438	292	373
439	293	373
440	294	373
441	295	372
442	295	371
443	296	371
444	297	370
445	298	370
446	298	369
447	299	368
448	300	368
449	300	367
450	301	367
451	302	366
452	302	365
453	303	365
454	304	364
455	305	364
456	305	363
457	306	362
458	307	362
459	307	361
460	308	360
461	309	359
462	309	359
463	310	358
464	311	357
465	311	357
466	312	356
467	312	355
468	313	354
469	313	354
470	314	353
471	315	352
472	315	351
473	316	351
474	317	350
475	317	349
476	318	349
477	319	348
478	319	348
479	320	347
480	321	346
481	321	345
